file_path	sentence	caption	ipa	style
E:/combine/000000.wav	printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition	A female speaking English with neutral emotion	['START', 'p', 'ɹ', 'ɪ', 'n', 't', 'ɪ', 'ŋ', '|', '&', 'ɪ', 'n', '|', 'ð', 'ʌ', '|', 'oʊ', 'n', 'l', 'i', '|', 's', 'ɛ', 'n', 's', '|', 'w', 'ɪ', 'ð', '|', 'w', 'ɪ', 'tʃ', '|', 'w', 'i', '|', 'ɑ', 'ɹ', '|', 'æ', 't', '|', 'p', 'ɹ', 'ɛ', 'z', 'ʌ', 'n', 't', '|', 'k', 'ʌ', 'n', 's', 'ɝ', 'n', 'd', '|', '&', 'd', 'ɪ', 'f', 'ɝ', 'z', '|', 'f', 'ɹ', 'ʌ', 'm', '|', 'm', 'oʊ', 's', 't', '|', 'ɪ', 'f', '|', 'n', 'ɑ', 't', '|', 'f', 'ɹ', 'ʌ', 'm', '|', 'ɔ', 'l', '|', 'ð', 'ʌ', '|', 'ɑ', 'ɹ', 't', 's', '|', 'ʌ', 'n', 'd', '|', 'k', 'ɹ', 'æ', 'f', 't', 's', '|', 'ɹ', 'ɛ', 'p', 'ɹ', 'ʌ', 'z', 'ɛ', 'n', 't', 'ʌ', 'd', '|', 'ɪ', 'n', '|', 'ð', 'ʌ', '|', 'ɛ', 'k', 's', 'ʌ', 'b', 'ɪ', 'ʃ', 'ʌ', 'n', 'END']	[5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 6, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 6, 5, 5, 5, 5]
E:/combine/000001.wav	in being comparatively modern.	A female speaking English with neutral emotion	['START', 'ɪ', 'n', '|', 'b', 'i', 'ɪ', 'ŋ', '|', 'k', 'ʌ', 'm', 'p', 'ɛ', 'ɹ', 'ʌ', 't', 'ɪ', 'v', 'l', 'i', '|', 'm', 'ɑ', 'd', 'ɝ', 'n', '|', 'END']	[5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5]
E:/combine/000002.wav	for although the chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the netherlands, by a similar process	A female speaking English with neutral emotion	['START', 'f', 'ɔ', 'ɹ', '|', 'ɔ', 'l', 'ð', 'oʊ', '|', 'ð', 'ʌ', '|', 'tʃ', 'aɪ', 'n', 'i', 'z', '|', 't', 'ʊ', 'k', '|', 'ɪ', 'm', 'p', 'ɹ', 'ɛ', 'ʃ', 'ʌ', 'n', 'z', '|', 'f', 'ɹ', 'ʌ', 'm', '|', 'w', 'ʊ', 'd', '|', 'b', 'l', 'ɑ', 'k', 's', '|', 'ɪ', 'n', 'g', 'ɹ', 'eɪ', 'v', 'd', '|', 'ɪ', 'n', '|', 'ɹ', 'ɪ', 'l', 'i', 'f', '|', 'f', 'ɔ', 'ɹ', '|', 's', 'ɛ', 'n', 'tʃ', 'ɝ', 'i', 'z', '|', 'b', 'ɪ', 'f', 'ɔ', 'ɹ', '|', 'ð', 'ʌ', '|', 'w', 'ʊ', 'd', '|', 'k', 'ʌ', 't', 'ɝ', 'z', '|', 'ʌ', 'v', '|', 'ð', 'ʌ', '|', 'n', 'ɛ', 'ð', 'ɝ', 'l', 'ʌ', 'n', 'd', 'z', '|', '&', 'b', 'aɪ', '|', 'ʌ', '|', 's', 'ɪ', 'm', 'ʌ', 'l', 'ɝ', '|', 'p', 'ɹ', 'ɑ', 's', 'ɛ', 's', 'END']	[5, 5, 6, 5, 5, 7, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 7, 5, 5]
E:/combine/000003.wav	produced the block books, which were the immediate predecessors of the true printed book,	A female speaking English with neutral emotion	['START', 'p', 'ɹ', 'ʌ', 'd', 'u', 's', 't', '|', 'ð', 'ʌ', '|', 'b', 'l', 'ɑ', 'k', '|', 'b', 'ʊ', 'k', 's', '|', '&', 'w', 'ɪ', 'tʃ', '|', 'w', 'ɝ', '|', 'ð', 'ʌ', '|', 'ɪ', 'm', 'i', 'd', 'i', 'ʌ', 't', '|', 'p', 'ɹ', 'ɛ', 'd', 'ʌ', 's', 'ɛ', 's', 'ɝ', 'z', '|', 'ʌ', 'v', '|', 'ð', 'ʌ', '|', 't', 'ɹ', 'u', '|', 'p', 'ɹ', 'ɪ', 'n', 't', 'ʌ', 'd', '|', 'b', 'ʊ', 'k', '|', 'END']	[5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 7, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5]
E:/combine/000004.wav	the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.	A female speaking English with neutral emotion	['START', 'ð', 'ʌ', '|', 'ɪ', 'n', 'v', 'ɛ', 'n', 'ʃ', 'ʌ', 'n', '|', 'ʌ', 'v', '|', 'm', 'u', 'v', 'ʌ', 'b', 'ʌ', 'l', '|', 'm', 'ɛ', 't', 'ʌ', 'l', '|', 'l', 'ɛ', 't', 'ɝ', 'z', '|', 'ɪ', 'n', '|', 'ð', 'ʌ', '|', 'm', 'ɪ', 'd', 'ʌ', 'l', '|', 'ʌ', 'v', '|', 'ð', 'ʌ', '|', 'f', 'ɪ', 'f', 't', 'i', 'n', 'θ', '|', 's', 'ɛ', 'n', 'tʃ', 'ɝ', 'i', '|', 'm', 'eɪ', '|', 'dʒ', 'ʌ', 's', 't', 'l', 'i', '|', 'b', 'i', '|', 'k', 'ʌ', 'n', 's', 'ɪ', 'd', 'ɝ', 'd', '|', 'æ', 'z', '|', 'ð', 'ʌ', '|', 'ɪ', 'n', 'v', 'ɛ', 'n', 'ʃ', 'ʌ', 'n', '|', 'ʌ', 'v', '|', 'ð', 'ʌ', '|', 'ɑ', 'ɹ', 't', '|', 'ʌ', 'v', '|', 'p', 'ɹ', 'ɪ', 'n', 't', 'ɪ', 'ŋ', '|', 'END']	[5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5]
E:/combine/000005.wav	and it is worth mention in passing that, as an example of fine typography,	A female speaking English with neutral emotion	['START', 'ʌ', 'n', 'd', '|', 'ɪ', 't', '|', 'ɪ', 'z', '|', 'w', 'ɝ', 'θ', '|', 'm', 'ɛ', 'n', 'ʃ', 'ʌ', 'n', '|', 'ɪ', 'n', '|', 'p', 'æ', 's', 'ɪ', 'ŋ', '|', 'ð', 'æ', 't', '|', '&', 'æ', 'z', '|', 'æ', 'n', '|', 'ɪ', 'g', 'z', 'æ', 'm', 'p', 'ʌ', 'l', '|', 'ʌ', 'v', '|', 'f', 'aɪ', 'n', '|', 't', 'ʌ', 'p', 'ɑ', 'g', 'ɹ', 'ʌ', 'f', 'i', '|', 'END']	[5, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5]
E:/combine/000006.wav	the earliest book printed with movable types, the gutenberg, or forty-two line bible of about fourteen fifty-five,	A female speaking English with neutral emotion	['START', 'ð', 'ʌ', '|', 'ɝ', 'l', 'i', 'ʌ', 's', 't', '|', 'b', 'ʊ', 'k', '|', 'p', 'ɹ', 'ɪ', 'n', 't', 'ʌ', 'd', '|', 'w', 'ɪ', 'ð', '|', 'm', 'u', 'v', 'ʌ', 'b', 'ʌ', 'l', '|', 't', 'aɪ', 'p', 's', '|', '&', 'ð', 'ʌ', '|', 'g', 'u', 't', 'ʌ', 'n', 'b', 'ɝ', 'g', '|', '&', 'ɔ', 'ɹ', '|', 'f', 'ɔ', 'ɹ', 't', 'i', '|', '&', 't', 'u', '|', 'l', 'aɪ', 'n', '|', 'b', 'aɪ', 'b', 'ʌ', 'l', '|', 'ʌ', 'v', '|', 'ʌ', 'b', 'aʊ', 't', '|', 'f', 'ɔ', 'ɹ', 't', 'i', 'n', '|', 'f', 'ɪ', 'f', 't', 'i', '|', '&', 'f', 'aɪ', 'v', '|', 'END']	[5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5]
E:/combine/000007.wav	has never been surpassed.	A female speaking English with neutral emotion	['START', 'h', 'æ', 'z', '|', 'n', 'ɛ', 'v', 'ɝ', '|', 'b', 'ɪ', 'n', '|', 's', 'ɝ', 'p', 'æ', 's', 't', '|', 'END']	[5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5]
E:/combine/000008.wav	printing, then, for our purpose, may be considered as the art of making books by means of movable types.	A female speaking English with neutral emotion	['START', 'p', 'ɹ', 'ɪ', 'n', 't', 'ɪ', 'ŋ', '|', '&', 'ð', 'ɛ', 'n', '|', '&', 'f', 'ɔ', 'ɹ', '|', 'aʊ', 'ɝ', '|', 'p', 'ɝ', 'p', 'ʌ', 's', '|', '&', 'm', 'eɪ', '|', 'b', 'i', '|', 'k', 'ʌ', 'n', 's', 'ɪ', 'd', 'ɝ', 'd', '|', 'æ', 'z', '|', 'ð', 'ʌ', '|', 'ɑ', 'ɹ', 't', '|', 'ʌ', 'v', '|', 'm', 'eɪ', 'k', 'ɪ', 'ŋ', '|', 'b', 'ʊ', 'k', 's', '|', 'b', 'aɪ', '|', 'm', 'i', 'n', 'z', '|', 'ʌ', 'v', '|', 'm', 'u', 'v', 'ʌ', 'b', 'ʌ', 'l', '|', 't', 'aɪ', 'p', 's', '|', 'END']	[5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5]
E:/combine/000009.wav	now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,	A female speaking English with neutral emotion	['START', 'n', 'aʊ', '|', '&', 'æ', 'z', '|', 'ɔ', 'l', '|', 'b', 'ʊ', 'k', 's', '|', 'n', 'ɑ', 't', '|', 'p', 'ɹ', 'aɪ', 'm', 'ɛ', 'ɹ', 'ʌ', 'l', 'i', '|', 'ɪ', 'n', 't', 'ɛ', 'n', 'd', 'ʌ', 'd', '|', 'æ', 'z', '|', 'p', 'ɪ', 'k', 'tʃ', 'ɝ', '|', '&', 'b', 'ʊ', 'k', 's', '|', 'k', 'ʌ', 'n', 's', 'ɪ', 's', 't', '|', 'p', 'ɹ', 'ɪ', 'n', 's', 'ɪ', 'p', 'l', 'i', '|', 'ʌ', 'v', '|', 't', 'aɪ', 'p', 's', '|', 'k', 'ʌ', 'm', 'p', 'oʊ', 'z', 'd', '|', 't', 'u', '|', 'f', 'ɔ', 'ɹ', 'm', '|', 'l', 'ɛ', 't', 'ɝ', 'p', 'ɹ', 'ɛ', 's', '|', 'END']	[5, 5, 6, 5, 5, 6, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 7, 5, 5, 5]
E:/combine/013100.wav	卡尔普陪外孙玩滑梯.	A female speaking Chinese with neutral emotion	['START', 'kʰ', 'a', '|', 'ɚ', '|', 'pʰ', 'u', '|', 'pʰ', 'eɪ', '|', 'w', 'aɪ', '|', 's', 'wən', '|', 'w', 'an', '|', 'x', 'wa', '|', 'tʰ', 'i', '|', '&', 'END']	[0, 0, 3, 0, 3, 0, 0, 3, 0, 0, 2, 0, 0, 4, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0]
E:/combine/013101.wav	假语村言别再拥抱我.	A female speaking Chinese with neutral emotion	['START', 'tɕ', 'ja', '|', 'j', 'u', '|', 'tsʰ', 'wən', '|', 'j', 'an', '|', 'p', 'je', '|', 'ts', 'aɪ', '|', 'j', 'ʊŋ', '|', 'p', 'aʊ', '|', 'w', 'o', '|', '&', 'END']	[0, 0, 3, 0, 0, 3, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, 0, 1, 0, 0, 4, 0, 0, 3, 0, 0, 0]
E:/combine/013102.wav	宝马配挂跛骡鞍,貂蝉怨枕董翁榻.	A female speaking Chinese with neutral emotion	['START', 'p', 'aʊ', '|', 'm', 'a', '|', 'pʰ', 'eɪ', '|', 'k', 'wa', '|', 'p', 'o', '|', 'l', 'wo', '|', 'an', '|', '&', 't', 'jaʊ', '|', 'ʈʂʰ', 'an', '|', 'j', 'wan', '|', 'ʈʂ', 'ən', '|', 't', 'ʊŋ', '|', 'w', 'əŋ', '|', 'tʰ', 'a', '|', '&', 'END']	[0, 0, 3, 0, 0, 3, 0, 0, 4, 0, 0, 4, 0, 0, 3, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 4, 0, 0, 3, 0, 0, 3, 0, 0, 1, 0, 0, 4, 0, 0, 0]
E:/combine/013103.wav	邓小平与撒切尔会晤.	A female speaking Chinese with neutral emotion	['START', 't', 'əŋ', '|', 'ɕ', 'jaʊ', '|', 'pʰ', 'iŋ', '|', 'j', 'u', '|', 's', 'a', '|', 'tɕʰ', 'je', '|', 'ɚ', '|', 'x', 'weɪ', '|', 'w', 'u', '|', '&', 'END']	[0, 0, 4, 0, 0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 4, 0, 3, 0, 0, 4, 0, 0, 4, 0, 0, 0]
E:/combine/013104.wav	老虎幼崽与宠物犬玩耍.	A female speaking Chinese with neutral emotion	['START', 'l', 'aʊ', '|', 'x', 'u', '|', 'j', 'oʊ', '|', 'ts', 'aɪ', '|', 'j', 'u', '|', 'ʈʂʰ', 'ʊŋ', '|', 'w', 'u', '|', 'tɕʰ', 'wan', '|', 'w', 'an', '|', 'ʂ', 'wa', '|', '&', 'END']	[0, 0, 3, 0, 0, 3, 0, 0, 4, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 0, 4, 0, 0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0]
E:/combine/013105.wav	身长约五尺二寸五分或以上.	A female speaking Chinese with neutral emotion	['START', 'ʂ', 'ən', '|', 'ʈʂʰ', 'ɑŋ', '|', 'j', 'yɛ', '|', 'w', 'u', '|', 'ʈʂʰ', 'i', '|', 'ɚ', '|', 'tsʰ', 'wən', '|', 'w', 'u', '|', 'f', 'ən', '|', 'x', 'wo', '|', 'j', 'i', '|', 'ʂ', 'ɑŋ', '|', '&', 'END']	[0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 3, 0, 0, 3, 0, 4, 0, 0, 4, 0, 0, 3, 0, 0, 1, 0, 0, 4, 0, 0, 3, 0, 0, 4, 0, 0, 0]
E:/combine/013106.wav	赵荻约曹云腾去鬼屋.	A female speaking Chinese with neutral emotion	['START', 'ʈʂ', 'aʊ', '|', 't', 'i', '|', 'j', 'yɛ', '|', 'tsʰ', 'aʊ', '|', 'j', 'wən', '|', 'tʰ', 'əŋ', '|', 'tɕʰ', 'u', '|', 'k', 'weɪ', '|', 'w', 'u', '|', '&', 'END']	[0, 0, 4, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, 0, 3, 0, 0, 1, 0, 0, 0]
E:/combine/013107.wav	展品虽有,展员却颓.	A female speaking Chinese with neutral emotion	['START', 'ʈʂ', 'an', '|', 'pʰ', 'in', '|', 's', 'weɪ', '|', 'j', 'oʊ', '|', '&', 'ʈʂ', 'an', '|', 'j', 'wan', '|', 'tɕʰ', 'yɛ', '|', 'tʰ', 'weɪ', '|', '&', 'END']	[0, 0, 3, 0, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 2, 0, 0, 4, 0, 0, 2, 0, 0, 0]
E:/combine/013108.wav	以散居儿童和幼托儿童为主.	A female speaking Chinese with neutral emotion	['START', 'j', 'i', '|', 's', 'an', '|', 'tɕ', 'u', '|', 'ɚ', '|', 'tʰ', 'ʊŋ', '|', 'x', 'ɤ', '|', 'j', 'oʊ', '|', 'tʰ', 'wo', '|', 'ɚ', '|', 'tʰ', 'ʊŋ', '|', 'w', 'eɪ', '|', 'ʈʂ', 'u', '|', '&', 'END']	[0, 0, 3, 0, 0, 3, 0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 3, 0, 0, 0]
E:/combine/013109.wav	柯特妮身穿豹纹大衣.	A female speaking Chinese with neutral emotion	['START', 'kʰ', 'ɤ', '|', 'tʰ', 'ɤ', '|', 'n', 'i', '|', 'ʂ', 'ən', '|', 'ʈʂʰ', 'wan', '|', 'p', 'aʊ', '|', 'w', 'ən', '|', 't', 'a', '|', 'j', 'i', '|', '&', 'END']	[0, 0, 1, 0, 0, 4, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 4, 0, 0, 2, 0, 0, 4, 0, 0, 1, 0, 0, 0]
